Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
2924.333333333333,247.5130091104273,462.4675237053706,3171.8463424437605,0.09523809523809523,21
2923.333333333333,247.5130091104273,462.56357537752814,3170.8463424437605,0.09523809523809523,21
2937.6666666666665,255.63146721828713,451.40590995047864,3193.2981338849536,0.09090909090909091,22
2927.6666666666665,251.5965573972654,459.40590995047864,3179.263224063932,0.13043478260869565,23
2961.333333333333,255.63146721828713,448.0772157267508,3216.96480055162,0.09090909090909091,22
2952.6666666666665,255.63146721828713,450.21079938182885,3208.2981338849536,0.09090909090909091,22
2939.333333333333,255.63146721828713,450.8677824240904,3194.96480055162,0.09090909090909091,22
2811.0,256.7516136453333,514.1345896764568,3067.7516136453332,0.18181818181818182,22
2925.6666666666665,247.95819272791152,459.7109211962607,3173.624859394578,0.09523809523809523,21
2930.333333333333,255.63146721828713,453.3847887648404,3185.96480055162,0.09090909090909091,22
2919.6666666666665,247.73801147537816,465.24328817277416,3167.4046781420448,0.09523809523809523,21
2810.0,256.7516136453333,514.2306413486143,3066.7516136453332,0.18181818181818182,22
2921.0,249.53176688768076,463.0001887108327,3170.5317668876805,0.09523809523809523,21
2918.333333333333,247.73801147537816,467.0795996127295,3166.0713448087113,0.09523809523809523,21
3057.6666666666665,247.8000000000001,402.1622965916045,3305.4666666666667,0.0,21
3069.6666666666665,247.8000000000001,400.5863431821636,3317.4666666666667,0.0,21
3062.0,247.8000000000001,400.8624766021998,3309.8,0.0,21
2037.0,283.36388831513824,637.6232382289888,2320.3638883151384,0.8125,16
1829.6666666666665,245.37403932695207,641.0,2075.0407059936188,1.0,14
1815.3333333333333,244.22255100252949,642.0,2059.5558843358626,1.0,14
1711.6666666666665,251.11016482141122,674.0,1962.7768314880777,1.0,13
1713.0,251.6413016453379,673.0,1964.641301645338,1.0,13
1748.3333333333333,252.34374168050687,655.0,2000.67707501384,1.0,13
1735.3333333333333,253.34859328067867,661.0,1988.681926614012,1.0,13
1705.6666666666665,250.5584586719125,687.0,1956.225125338579,1.0,14
1710.6666666666665,252.49355844438747,680.0,1963.160225111054,1.0,14
1708.3333333333333,251.5640459695073,684.0,1959.8973793028406,1.0,14
1739.3333333333333,251.7780279026491,658.0,1991.1113612359823,1.0,13
1726.3333333333333,252.99377630891814,665.0,1979.3271096422513,1.0,13
1765.0,251.25385062877518,649.0,2016.2538506287751,1.0,13
1758.3333333333333,253.46380050237516,652.0,2011.7971338357083,1.0,13
1783.6666666666665,253.17433490646894,648.0,2036.8410015731354,1.0,13
1705.6666666666665,250.54087796138484,687.0,1956.2075446280514,1.0,14
1710.6666666666665,252.47597773385982,680.0,1963.1426444005263,1.0,14
1739.3333333333333,251.84627846821812,658.0,1991.1796118015513,1.0,13
1705.0,250.85534561705236,694.0,1955.8553456170523,1.0,14
1893.6666666666665,245.28525111106828,639.0,2138.9519177777347,1.0,13
1697.6666666666665,249.75615393304616,696.0,1947.4228205997126,1.0,14
1716.3333333333333,253.13895253028585,670.0,1969.4722858636192,1.0,13
1708.3333333333333,251.54646525897965,684.0,1959.879798592313,1.0,14
1840.6666666666665,243.62781008038937,640.0,2084.294476747056,1.0,14
1840.6666666666665,243.61022936986168,640.0,2084.2768960365283,1.0,14
1714.6666666666665,246.50703811690656,671.0,1961.1737047835732,1.0,13
1800.6666666666665,247.3050101064413,647.0,2047.971676773108,1.0,14
1705.6666666666665,250.3875965714554,687.0,1956.0542632381218,1.0,14
1701.6666666666665,249.88790716631652,695.0,1951.5545738329831,1.0,14
2883.0,274.46959633920073,467.70205100598395,3157.4695963392005,0.13043478260869565,23
2817.6666666666665,295.59813885336655,504.90366776934513,3113.264805520033,0.16,25
2882.6666666666665,281.13132827390723,470.9205769474536,3163.7979949405735,0.13043478260869565,23
2855.333333333333,286.1130098309149,483.4024997419089,3141.446343164248,0.13043478260869565,23
2844.333333333333,275.4362582928996,488.6300745100581,3119.769591626233,0.16666666666666666,24
2837.6666666666665,282.3877993641408,493.02977270851363,3120.0544660308074,0.16666666666666666,24
2828.333333333333,283.79813885336654,495.6546363151943,3112.1314721866997,0.16666666666666666,24
2815.6666666666665,283.79813885336654,513.0879187935624,3099.464805520033,0.16666666666666666,24
2808.0,278.23878726559815,516.120068129595,3086.238787265598,0.20833333333333334,24
2867.0,281.85743301200364,479.4366647027927,3148.8574330120036,0.16666666666666666,24
2878.333333333333,274.46959633920073,471.87233182134435,3152.8029296725335,0.13043478260869565,23
2862.333333333333,283.9495912842511,480.7676088522158,3146.2829246175843,0.13043478260869565,23
2873.6666666666665,283.9495912842511,474.656648766662,3157.6162579509178,0.13043478260869565,23
2824.0,283.79813885336654,498.96570141655457,3107.7981388533667,0.16666666666666666,24
2859.333333333333,285.7696900762207,482.65519064426235,3145.1030234095538,0.13043478260869565,23
2822.0,283.79813885336654,501.48329332511213,3105.7981388533667,0.16666666666666666,24
2818.333333333333,283.79813885336654,501.504911744776,3102.1314721866997,0.16666666666666666,24
2870.0,283.9495912842511,477.5369000384286,3153.9495912842513,0.13043478260869565,23
2805.0,273.54209429808884,519.2123198876423,3078.542094298089,0.17391304347826086,23
2802.333333333333,273.54209429808884,520.4101542884819,3075.875427631422,0.17391304347826086,23
2880.0,282.71554282988143,471.7209675204946,3162.7155428298815,0.13043478260869565,23
2869.0,283.9495912842511,478.8269295820224,3152.9495912842513,0.13043478260869565,23
2816.0,276.8284477763724,513.0523605619103,3092.8284477763723,0.20833333333333334,24
2823.0,283.79813885336654,500.45912381282153,3106.7981388533667,0.16666666666666666,24
2822.6666666666665,283.79813885336654,501.0713434747531,3106.464805520033,0.16666666666666666,24
2869.6666666666665,283.9495912842511,478.17816429402376,3153.6162579509178,0.13043478260869565,23
2515.333333333333,275.366764296514,521.2244471431582,2790.700097629847,0.3888888888888889,18
2443.0,275.000994304514,523.035008931046,2718.000994304514,0.3888888888888889,18
2380.0,269.58512890157675,539.0614822946025,2649.585128901577,0.4117647058823529,17
2439.0,275.000994304514,526.052644007019,2714.000994304514,0.3888888888888889,18
2386.333333333333,277.57595196012574,526.0860657313189,2663.9092852934587,0.3888888888888889,18
2488.0,275.000994304514,521.9357241437376,2763.000994304514,0.3888888888888889,18
2450.6666666666665,275.000994304514,522.4059594928164,2725.6676609711803,0.3888888888888889,18
2366.0,257.14697788573585,551.475470790763,2623.146977885736,0.47058823529411764,17
2374.0,269.7089282671058,541.911240115207,2643.708928267106,0.4117647058823529,17
2381.6666666666665,270.18158865479364,535.6625844288401,2651.8482553214603,0.4117647058823529,17
2439.6666666666665,275.000994304514,525.9040203427248,2714.6676609711803,0.3888888888888889,18
2381.333333333333,270.18158865479364,537.3140692782667,2651.514921988127,0.4117647058823529,17
3000.333333333333,258.5530969366819,445.9142445510189,3258.886430270015,0.09523809523809523,21
2999.6666666666665,259.0456711668616,447.750963870904,3258.712337833528,0.09523809523809523,21
2284.0,282.0899575360984,559.7893972259089,2566.089957536098,0.42105263157894735,19
2275.0,284.0986001809061,564.7893972259089,2559.098600180906,0.42105263157894735,19
2318.0,261.2169654796941,557.497907325592,2579.216965479694,0.47058823529411764,17
2357.333333333333,281.8303748374123,555.4802282102727,2639.1637081707454,0.42105263157894735,19
2353.0,281.6940462021461,555.6386205577543,2634.694046202146,0.42105263157894735,19
2331.333333333333,260.5652452607313,555.926040296762,2591.8985785940645,0.47058823529411764,17
2363.333333333333,281.1379754644466,553.1400325907077,2644.47130879778,0.42105263157894735,19
2371.333333333333,281.47348146846167,550.0791757726181,2652.8068148017946,0.42105263157894735,19
2360.6666666666665,282.72171158430245,554.5662387804078,2643.388378250969,0.42105263157894735,19
2362.0,282.72171158430245,554.1229241200991,2644.7217115843023,0.42105263157894735,19
3145.6666666666665,259.6000000000001,389.16107960716204,3405.2666666666664,0.0,22
3071.333333333333,259.6000000000001,398.5281721319606,3330.933333333333,0.0,22
3015.0,259.6000000000001,429.0876300732217,3274.6,0.0,22
3131.6666666666665,247.8000000000001,390.4598835520156,3379.4666666666667,0.0,21
3103.333333333333,259.6000000000001,394.11703288152694,3362.933333333333,0.0,22
3073.333333333333,259.6000000000001,397.4357123914832,3332.933333333333,0.0,22
3117.333333333333,259.6000000000001,393.9076047005308,3376.933333333333,0.0,22
3052.6666666666665,259.6000000000001,403.6000233978,3312.2666666666664,0.0,22
3040.6666666666665,259.6000000000001,403.8465381612175,3300.2666666666664,0.0,22
3032.333333333333,247.8000000000001,405.34227338515393,3280.133333333333,0.0,21
3026.0,247.8000000000001,405.8203337125848,3273.8,0.0,21
3059.333333333333,259.6000000000001,401.0627836839396,3318.933333333333,0.0,22
3035.333333333333,247.8000000000001,405.1827125598809,3283.133333333333,0.0,21
3019.6666666666665,259.6000000000001,417.6671538671727,3279.2666666666664,0.0,22
3023.6666666666665,259.6000000000001,417.47131901804664,3283.2666666666664,0.0,22
3005.6666666666665,259.6000000000001,436.7308293097524,3265.2666666666664,0.0,22
3012.0,259.6000000000001,433.1374578548304,3271.6,0.0,22
2058.0,292.4931644433053,610.0281593919071,2350.4931644433054,0.6470588235294118,17
