Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
2128.0,230.1774607141125,487.8035076538513,2358.1774607141124,0.42857142857142855,14
2142.0,231.03826087819493,485.56441903366726,2373.0382608781947,0.42857142857142855,14
2093.333333333333,223.85547930302036,492.1206010238612,2317.1888126363533,0.42857142857142855,14
2087.0,223.24828983504494,494.88125639897646,2310.248289835045,0.42857142857142855,14
2138.6666666666665,231.03826087819493,485.99633345633515,2369.7049275448617,0.42857142857142855,14
2124.6666666666665,224.65338326629785,490.1178381559321,2349.320049932964,0.42857142857142855,14
2153.0,231.11333523979494,481.99089025368653,2384.113335239795,0.42857142857142855,14
2152.333333333333,230.89825433876652,482.99089025368653,2383.2315876720995,0.42857142857142855,14
2142.0,231.11333523979494,485.56441903366726,2373.113335239795,0.42857142857142855,14
2113.333333333333,224.61760789246495,490.4063286994442,2337.950941225798,0.42857142857142855,14
2109.6666666666665,224.54219535806493,490.6283352382445,2334.2088620247314,0.42857142857142855,14
2138.6666666666665,231.11333523979494,485.99633345633515,2369.7800019064616,0.42857142857142855,14
2140.333333333333,231.11333523979494,485.9154577436692,2371.446668573128,0.42857142857142855,14
2145.0,231.11333523979494,484.9387087114276,2376.113335239795,0.42857142857142855,14
2133.0,231.01602915943621,486.0021233602736,2364.016029159436,0.42857142857142855,14
2131.0,231.11333523979494,486.4377277188439,2362.113335239795,0.42857142857142855,14
2635.0,219.8380837589597,452.8524357173212,2854.83808375896,0.1111111111111111,18
2689.6666666666665,212.48732246093306,406.46634013775883,2902.1539891275997,0.058823529411764705,17
2654.0,213.3679792401841,408.36041971568113,2867.367979240184,0.058823529411764705,17
2684.333333333333,213.3679792401841,408.3400241925433,2897.701312573517,0.058823529411764705,17
2086.333333333333,205.2579014152894,514.89010571348,2291.5912347486224,0.42857142857142855,14
2080.0,207.14904830926233,520.3590717228437,2287.1490483092625,0.42857142857142855,14
2696.6666666666665,216.24329227938773,400.2392857460531,2912.9099589460543,0.058823529411764705,17
2653.6666666666665,217.66077796968432,441.673443613836,2871.3274446363507,0.1111111111111111,18
2736.0,212.40000000000006,378.9881751723954,2948.4,0.0,18
2705.0,212.40000000000006,386.3182147447552,2917.4,0.0,18
2730.333333333333,212.40000000000006,383.31453815933355,2942.733333333333,0.0,18
2702.333333333333,212.40000000000006,390.7964217658227,2914.733333333333,0.0,18
2702.6666666666665,212.40000000000006,389.899119065611,2915.0666666666666,0.0,18
2720.6666666666665,212.40000000000006,386.23218471724175,2933.0666666666666,0.0,18
2815.0,212.40000000000006,366.45883803309283,3027.4,0.0,18
2834.6666666666665,212.40000000000006,365.56901813480897,3047.0666666666666,0.0,18
2834.333333333333,212.40000000000006,366.1328438022083,3046.733333333333,0.0,18
2759.333333333333,212.40000000000006,373.2821055638715,2971.733333333333,0.0,18
2858.0,212.40000000000006,364.0496037335373,3070.4,0.0,18
2859.0,212.40000000000006,362.93261660772174,3071.4,0.0,18
2814.0,212.40000000000006,367.60555149989887,3026.4,0.0,18
2758.0,212.40000000000006,373.77502558214474,2970.4,0.0,18
2782.333333333333,212.40000000000006,371.8927972323798,2994.733333333333,0.0,18
2767.333333333333,212.40000000000006,371.97760838975915,2979.733333333333,0.0,18
2847.6666666666665,212.40000000000006,365.28509879460955,3060.0666666666666,0.0,18
1560.0,196.3258051404249,522.0,1756.325805140425,1.0,10
1546.6666666666665,190.96256814668658,538.0,1737.6292348133532,1.0,10
1548.0,191.1088306233267,524.0,1739.1088306233266,1.0,10
1555.0,194.1914882153002,523.0,1749.1914882153003,1.0,10
1566.0,198.80427125642325,521.0,1764.8042712564234,1.0,10
1560.0,196.32695241191664,522.0,1756.3269524119166,1.0,10
1547.0,190.7147488401019,525.0,1737.714748840102,1.0,10
2638.333333333333,209.87950225242218,449.8059953194546,2848.2128355857553,0.11764705882352941,17
2649.0,211.29551051621453,445.24770130291614,2860.2955105162146,0.11764705882352941,17
2648.0,211.29551051621453,445.81109514910884,2859.2955105162146,0.11764705882352941,17
2641.6666666666665,209.87950225242218,446.39913325136024,2851.546168919089,0.11764705882352941,17
