Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
3081.0,231.29206753363547,408.2210707319355,3312.2920675336354,0.05,20
1782.6666666666665,215.76727154416187,615.0,1998.4339382108283,1.0,12
1726.0,215.91111244122888,614.0,1941.9111124412289,1.0,11
1736.3333333333333,220.62906603590378,600.0,1956.9623993692371,1.0,11
1732.6666666666665,219.14122428636117,602.0,1951.8078909530277,1.0,11
1726.6666666666665,216.02840333316428,612.0,1942.6950699998308,1.0,11
1727.0,216.74034011478633,604.0,1943.7403401147862,1.0,11
1737.3333333333333,221.0061633659671,598.0,1958.3394966993003,1.0,11
1727.6666666666665,216.40550066322757,610.0,1944.072167329894,1.0,11
1728.3333333333333,217.297288117418,603.0,1945.6306214507513,1.0,11
1726.6666666666665,216.66455667678179,605.0,1943.3312233434483,1.0,11
1727.3333333333333,216.32873161842755,611.0,1943.6620649517608,1.0,11
3109.6666666666665,247.8000000000001,391.7354499382186,3357.4666666666667,0.0,21
3176.6666666666665,236.00000000000009,395.2486888493198,3412.6666666666665,0.0,20
