Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
1919.6666666666665,305.570367951511,716.602908239355,2225.2370346181774,0.7619047619047619,21
1918.3333333333333,304.92961813490234,719.602908239355,2223.2629514682358,0.7619047619047619,21
1923.0,306.5818576800542,715.602908239355,2229.5818576800543,0.7619047619047619,21
1934.6666666666665,302.0242937469481,705.5462961318593,2236.6909604136144,0.7619047619047619,21
1970.3333333333333,328.289163235911,685.4035174466419,2298.6224965692445,0.6521739130434783,23
1981.3333333333333,325.56251393417995,680.4035174466419,2306.895847267513,0.6521739130434783,23
1934.0,309.57660966713195,714.602908239355,2243.576609667132,0.7619047619047619,21
1901.6666666666665,311.29128734659895,727.602908239355,2212.9579540132654,0.7619047619047619,21
1976.0,338.86929447262634,683.279116352562,2314.8692944726263,0.625,24
1964.6666666666665,331.1492529560395,694.6493831403255,2295.815919622706,0.6666666666666666,24
1985.3333333333333,336.0881951883026,679.279116352562,2321.421528521636,0.625,24
1996.6666666666665,337.1709201894263,678.279116352562,2333.837586856093,0.625,24
1997.6666666666665,336.0680943868953,676.279116352562,2333.7347610535617,0.625,24
1970.0,329.60348082123187,687.4035174466419,2299.6034808212316,0.6521739130434783,23
1975.6666666666665,340.1836120579472,685.279116352562,2315.850278724614,0.625,24
1908.6666666666665,308.41015445644206,720.602908239355,2217.0768211231084,0.7619047619047619,21
1942.6666666666665,310.92518441025635,696.1978289284579,2253.591851076923,0.7272727272727273,22
1908.0,310.05511896364203,723.602908239355,2218.055118963642,0.7619047619047619,21
1968.6666666666665,332.50829290978186,692.7519846500434,2301.1749595764486,0.6521739130434783,23
1941.0,315.14431408412725,703.5462961318593,2256.1443140841275,0.7272727272727273,22
1968.6666666666665,332.5082929097819,692.7519846500434,2301.1749595764486,0.6521739130434783,23
1891.3333333333333,316.8214808808351,739.5975806139343,2208.1548142141683,0.75,24
1899.6666666666665,323.2554777928717,738.1735359198818,2222.9221444595382,0.72,25
1894.0,316.8214808808351,739.1517185785307,2210.821480880835,0.75,24
1870.3333333333333,301.42847085615614,752.2245988214727,2171.7618041894893,0.8260869565217391,23
1870.3333333333333,298.7603113634044,752.2245988214727,2169.0936446967376,0.8260869565217391,23
1888.6666666666665,329.30025246689576,743.7276738844782,2217.9669191335624,0.72,25
1888.6666666666665,329.3002524668958,743.7276738844782,2217.9669191335624,0.72,25
1883.0,311.0662555548591,744.0749595335845,2194.0662555548593,0.782608695652174,23
1880.3333333333333,322.86625555485915,745.1517185785307,2203.1995888881925,0.75,24
1883.0,311.06625555485914,744.0749595335845,2194.0662555548593,0.782608695652174,23
1894.0,316.82148088083517,739.1517185785307,2210.821480880835,0.75,24
1891.3333333333333,316.82148088083517,739.5975806139343,2208.1548142141683,0.75,24
1873.0,302.4708058670573,750.5219853662942,2175.470805867057,0.7916666666666666,24
1867.6666666666665,313.22847085615615,753.3013578664188,2180.8951375228226,0.7916666666666666,24
1899.6666666666665,323.2554777928718,738.1735359198818,2222.9221444595382,0.72,25
1877.6666666666665,322.4567205503537,745.5975806139343,2200.12338721702,0.75,24
1812.0,262.86796375519646,758.0,2074.8679637551963,1.0,18
1791.0,261.1745369857995,766.0,2052.1745369857995,1.0,18
1802.6666666666665,263.51439776431084,759.0,2066.181064430977,1.0,17
