Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
871.0,99.69060202568744,304.0,970.6906020256874,1.0,7
872.3333333333333,100.36132416479221,299.0,972.6946574981255,1.0,7
873.6666666666666,100.84329866925766,298.0,974.5099653359243,1.0,7
871.0,99.70066863843984,303.0,970.7006686384399,1.0,7
872.3333333333333,100.35125755203981,300.0,972.684590885373,1.0,7
871.3333333333333,99.79476591818454,302.0,971.1280992515178,1.0,7
870.6666666666666,99.51408631702604,305.0,970.1807529836926,1.0,7
872.0,100.1278770296368,301.0,972.1278770296368,1.0,7
1483.0,116.93722883803659,232.85060817755317,1599.9372288380366,0.1,10
1533.3333333333333,116.23745273543207,243.62933615929848,1649.5707860687653,0.18181818181818182,11
1492.0,117.99999999999999,191.8456488652831,1610.0,0.0,10
1479.3333333333333,129.79999999999998,188.76796122698445,1609.1333333333332,0.0,11
