Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
1881.6666666666665,183.7945178314257,214.69250149894,2065.4611844980923,0.06666666666666667,15
1868.6666666666665,183.7945178314257,217.36097968598108,2052.4611844980923,0.06666666666666667,15
1896.6666666666665,183.7945178314257,212.91974283457265,2080.4611844980923,0.06666666666666667,15
1262.0,147.19179950510167,368.5541259745077,1409.1917995051017,0.7142857142857143,14
1803.3333333333333,195.7238332894387,222.38714432471886,1999.057166622772,0.0625,16
1808.3333333333333,195.7238332894387,221.7630049535993,2004.057166622772,0.0625,16
1887.0,183.79451783142568,214.54879784880077,2070.7945178314258,0.06666666666666667,15
1262.0,147.1917995051017,368.5541259745077,1409.1917995051017,0.7142857142857143,14
1880.0,183.79451783142568,217.1413207232791,2063.7945178314258,0.06666666666666667,15
1880.6666666666665,183.79451783142568,217.12096954851773,2064.4611844980923,0.06666666666666667,15
1874.0,183.79451783142568,217.21727603584185,2057.7945178314258,0.06666666666666667,15
1874.0,183.7945178314257,217.21727603584185,2057.7945178314258,0.06666666666666667,15
1955.0,183.7945178314257,210.8577307932087,2138.7945178314258,0.06666666666666667,15
1893.0,183.79451783142568,214.47284253623803,2076.7945178314258,0.06666666666666667,15
1861.0,195.5945178314257,220.03545740930394,2056.5945178314255,0.0625,16
1763.6666666666665,207.5238332894387,228.12635071227757,1971.1904999561052,0.058823529411764705,17
1784.3333333333333,195.7238332894387,222.78339480191363,1980.057166622772,0.0625,16
1789.6666666666665,195.7238332894387,222.6396911517744,1985.3904999561053,0.0625,16
1868.6666666666665,183.79451783142568,217.36097968598108,2052.4611844980923,0.06666666666666667,15
1866.6666666666665,183.79451783142568,218.86811260759234,2050.4611844980923,0.06666666666666667,15
1857.6666666666665,183.79451783142568,220.18706626947005,2041.4611844980923,0.06666666666666667,15
1861.0,195.59451783142572,220.03545740930394,2056.594517831426,0.0625,16
1866.3333333333333,195.59451783142572,219.89175375916471,2061.927851164759,0.0625,16
1776.6666666666665,195.7238332894387,225.30816933881547,1972.3904999561053,0.0625,16
1755.3333333333333,195.7238332894387,228.24387192386726,1951.057166622772,0.0625,16
1848.0,195.7238332894387,221.49766802874308,2043.7238332894387,0.0625,16
1881.6666666666665,183.79451783142568,214.69250149894,2065.4611844980923,0.06666666666666667,15
1913.3333333333333,183.79451783142568,212.37978870723865,2097.127851164759,0.06666666666666667,15
1771.3333333333333,195.7238332894387,225.4518729889547,1967.057166622772,0.0625,16
1769.0,207.5238332894387,227.98264706213834,1976.5238332894387,0.058823529411764705,17
1887.0,183.7945178314257,214.54879784880077,2070.7945178314258,0.06666666666666667,15
1179.3333333333333,121.19361040999934,426.0,1300.5269437433326,1.0,14
1182.3333333333333,123.20680625856633,422.0,1305.5401395918996,1.0,14
1231.0,126.96867997080248,373.0,1357.9686799708024,1.0,10
1223.3333333333333,123.74026447324854,378.0,1347.0735978065818,1.0,10
1225.3333333333333,122.68205755004854,377.0,1348.0153908833818,1.0,10
1191.6666666666665,119.74379301942466,396.0,1311.4104596860911,1.0,11
1189.6666666666665,118.9321653486935,411.0,1308.5988320153601,1.0,12
1192.3333333333333,119.92066731425442,394.0,1312.2540006475876,1.0,11
1231.0,126.38187775400984,373.0,1357.3818777540098,1.0,10
1191.6666666666665,119.88877332342469,396.0,1311.5554399900911,1.0,11
1212.3333333333333,121.08593715632509,383.0,1333.4192704896584,1.0,10
1202.0,121.8973320648023,388.0,1323.8973320648024,1.0,10
1199.3333333333333,121.1424164936023,389.0,1320.4757498269355,1.0,10
1190.6666666666665,119.08021373502173,399.0,1309.7468804016883,1.0,11
1228.3333333333333,127.81669910637275,376.0,1356.150032439706,1.0,10
1189.6666666666665,119.07714565269353,411.0,1308.7438123193601,1.0,12
1193.3333333333333,120.63275194625439,393.0,1313.9660852795876,1.0,11
1195.3333333333333,119.57454502305438,392.0,1314.9078783563878,1.0,11
1204.0,120.8391251416023,387.0,1324.8391251416024,1.0,10
1197.3333333333333,122.2006234168023,390.0,1319.5339567501355,1.0,10
