Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
1695.0,141.6,201.57973479224174,1836.6,0.0,12
1526.0,124.27389397534225,221.12204466621859,1650.2738939753422,0.16666666666666666,12
1535.0,128.02449322286148,217.12204466621859,1663.0244932228616,0.09090909090909091,11
1526.6666666666665,124.6070050867945,219.12204466621859,1651.273671753461,0.16666666666666666,12
1680.0,150.65179485525448,199.7115181981184,1830.6517948552546,0.07692307692307693,13
1637.6666666666665,138.86186146800685,203.90573543699415,1776.5285281346733,0.08333333333333333,12
1583.6666666666665,131.7836564883974,210.40303730944052,1715.4503231550639,0.16666666666666666,12
1680.0,150.6618614680069,198.71151819811843,1830.661861468007,0.07692307692307693,13
1637.6666666666665,138.86186146800688,203.90573543699412,1776.5285281346735,0.08333333333333333,12
1671.3333333333333,153.4,197.09075926089747,1824.7333333333333,0.0,13
1671.0,153.4,197.09075926089747,1824.4,0.0,13
963.6666666666666,98.05196082790032,308.0,1061.718627494567,1.0,7
988.0,102.7537989377393,300.0,1090.7537989377392,1.0,7
967.3333333333333,97.98803262790031,309.0,1065.3213659612336,1.0,7
987.0,102.35492550893932,301.0,1089.3549255089392,1.0,7
969.0,98.45939844636472,307.0,1067.4593984463647,1.0,7
967.6666666666666,99.95896088000072,303.0,1067.6256275466674,1.0,7
966.3333333333333,99.33238389116471,304.0,1065.665717224498,1.0,7
965.0,97.75986668882754,311.0,1062.7598666888275,1.0,7
964.0,98.57551327264859,306.0,1062.5755132726485,1.0,7
965.3333333333333,98.93351046236471,305.0,1064.266843795698,1.0,7
