Staff Cost, Travel Cost, CO2, Total Cost, Car Use (%), Staff
1057.6666666666665,92.93444085477829,195.5666826886798,1150.6011075214449,0.42857142857142855,7
1254.3333333333333,99.83683467601081,168.7200567929909,1354.170168009344,0.1111111111111111,9
1250.6666666666665,100.19300215761082,170.91455696299113,1350.8596688242774,0.1111111111111111,9
1254.0,99.74220603649852,169.7200567929909,1353.7422060364986,0.1111111111111111,9
1254.6666666666665,99.83683467601081,168.6330006631172,1354.5035013426773,0.1111111111111111,9
1251.0,100.19300215761082,170.82750083311743,1351.1930021576109,0.1111111111111111,9
1256.0,100.46341166484682,167.6330006631172,1356.4634116648467,0.1111111111111111,9
1253.6666666666665,99.83683467601081,169.74023707502306,1353.5035013426773,0.1111111111111111,9
1263.3333333333333,94.39999999999999,151.44678500631485,1357.7333333333333,0.0,8
1262.3333333333333,94.39999999999999,151.81815745408662,1356.7333333333333,0.0,8
1257.6666666666665,94.39999999999999,151.84049725317328,1352.0666666666666,0.0,8
1266.0,94.39999999999999,151.3479945623941,1360.4,0.0,8
1285.6666666666665,94.39999999999999,149.93121023336684,1380.0666666666666,0.0,8
1284.6666666666665,94.39999999999999,150.40091458250538,1379.0666666666666,0.0,8
1263.0,94.39999999999999,151.76345777132798,1357.4,0.0,8
1264.3333333333333,94.39999999999999,151.3557167204179,1358.7333333333333,0.0,8
1267.6666666666665,94.39999999999999,150.75475951170765,1362.0666666666666,0.0,8
1290.6666666666665,94.39999999999999,147.97319025488127,1385.0666666666666,0.0,8
1277.3333333333333,94.39999999999999,150.55289540834468,1371.7333333333333,0.0,8
1278.0,94.39999999999999,150.51400113773153,1372.4,0.0,8
864.3333333333333,81.24911062987755,223.72171781516045,945.5824439632108,0.8333333333333334,6
861.6666666666666,80.21779232768522,225.72171781516045,941.8844589943518,0.8333333333333334,6
867.3333333333333,81.24911062987755,223.62473929937858,948.5824439632108,0.8333333333333334,6
870.0,80.23435473730741,222.7385944442427,950.2343547373074,0.8333333333333334,6
869.3333333333333,80.23435473730741,222.86812469308936,949.5676880706407,0.8333333333333334,6
870.3333333333333,80.56724037570741,221.86812469308936,950.9005737090407,0.8333333333333334,6
863.6666666666666,80.97532456691047,224.72171781516045,944.6419912335771,0.8333333333333334,6
860.0,87.3693495881839,233.8681767264755,947.3693495881839,0.8333333333333334,6
855.3333333333333,85.1071474116214,234.73864647762883,940.4404807449547,0.8333333333333334,6
861.0,87.42675083959156,233.73864647762883,948.4267508395916,0.8333333333333334,6
861.0,87.4053430460031,233.73864647762883,948.405343046003,0.8333333333333334,6
870.0,80.2445138093074,222.7385944442427,950.2445138093074,0.8333333333333334,6
867.3333333333333,81.25926970187754,223.62473929937858,948.5926030352108,0.8333333333333334,6
867.3333333333333,81.22770283628908,223.62473929937858,948.5610361696223,0.8333333333333334,6
817.0,77.45681196742018,244.0,894.4568119674202,1.0,5
817.3333333333333,77.64811492990371,242.0,894.981448263237,1.0,5
817.3333333333333,77.61640237630371,242.0,894.949735709637,1.0,5
817.0,77.37899187710372,244.0,894.3789918771038,1.0,5
817.0,77.37450744190372,244.0,894.3745074419037,1.0,5
817.3333333333333,77.69550571782018,242.0,895.0288390511535,1.0,5
817.0,77.42566673862018,244.0,894.4256667386202,1.0,5
817.0,77.45521137542018,244.0,894.4552113754202,1.0,5
817.3333333333333,77.67317513150371,242.0,895.006508464837,1.0,5
819.3333333333333,78.50500723717059,238.0,897.8383405705039,1.0,5
819.3333333333333,78.46979358988705,238.0,897.8031269232204,1.0,5
817.0,77.40003921222018,244.0,894.4000392122202,1.0,5
817.0,77.34887991550372,244.0,894.3488799155037,1.0,5
820.3333333333333,78.90269609068704,237.0,899.2360294240203,1.0,5
820.3333333333333,78.90429668268706,237.0,899.2376300160204,1.0,5
817.3333333333333,77.67765956670371,242.0,895.010992900037,1.0,5
819.3333333333333,78.47427802508705,238.0,897.8076113584203,1.0,5
819.3333333333333,78.50382266188706,238.0,897.8371559952203,1.0,5
817.0,77.45969581062018,244.0,894.4596958106201,1.0,5
819.3333333333333,78.50949167237059,238.0,897.8428250057038,1.0,5
819.0,78.28394961026888,239.0,897.2839496102689,1.0,5
819.3333333333333,78.51109226437057,238.0,897.8444255977038,1.0,5
818.0,78.05750546502017,240.0,896.0575054650202,1.0,5
817.3333333333333,77.72721827142017,242.0,895.0605516047534,1.0,5
818.0,78.05302102982017,240.0,896.0530210298202,1.0,5
817.0,77.46129640262018,244.0,894.4612964026202,1.0,5
817.3333333333333,77.64651433790371,242.0,894.9798476712369,1.0,5
819.3333333333333,78.53903630917057,238.0,897.8723696425038,1.0,5
817.0,77.40565267070372,244.0,894.4056526707037,1.0,5
817.0,77.37610803390372,244.0,894.3761080339037,1.0,5
817.3333333333333,77.69767363462017,242.0,895.0310069679534,1.0,5
817.3333333333333,77.69927422662018,242.0,895.0326075599535,1.0,5
819.0,78.31509483906888,239.0,897.3150948390689,1.0,5
822.0,79.73949358120659,236.0,901.7394935812066,1.0,5
818.0,78.09271911230371,240.0,896.0927191123037,1.0,5
817.6666666666666,77.867177050202,241.0,895.5338437168687,1.0,5
818.0,78.05590487302018,240.0,896.0559048730202,1.0,5
817.3333333333333,77.72881886342017,242.0,895.0621521967535,1.0,5
817.3333333333333,77.69478979142018,242.0,895.0281231247534,1.0,5
822.0,79.70427993392305,236.0,901.7042799339231,1.0,5
817.3333333333333,77.72433442822017,242.0,895.0576677615534,1.0,5
820.3333333333333,78.87098353708706,237.0,899.2043168704204,1.0,5
817.0,77.41013710590371,244.0,894.4101371059037,1.0,5
